SurgicalService,Name,axa_name,axa_severity,protocolised_adm
Gynaecology,VAGINAL MYOMECTOMY,Myomectomy (including laparoscopically) +/- ureterolysis,Major,No
Urology,VAGINAL OPERATIONS TO SUPPORT OUTLET OF FEMALE BLADDER,Combined abdominal and vaginal operations to support outlet of female bladder (including sling procedures) (including cystoscopy),Major,No
Gynaecology Oncology,VAGINAL POLYP EXCISION,Excision of lesion of vagina (e.g. warts and cysts),Intermediate,No
Gynaecology,VAGINECTOMY,Reconstruction of vagina,Xmajor,No
Gynaecology,VAGINOPLASTY,Reconstruction of vagina,Xmajor,No
Urology,VAGINOPLASTY,Reconstruction of vagina,Xmajor,No
Gynaecology,VAGINOPLASTY WITH MOULD,Reconstruction of vagina,Xmajor,No
Urology,VAGINOPLASTY WITH MOULD AND SKIN GRAFT,Reconstruction of vagina,Xmajor,No
Gynaecology,VAGINOPLASTY WITH ROTATIONAL SKIN FLAPS,Reconstruction of vagina,Xmajor,No
Paediatric Urology,VAGINOPLASTY WITH ROTATIONAL SKIN FLAPS,Reconstruction of vagina,Xmajor,No
Urology,VAGINOPLASTY WITH ROTATIONAL SKIN FLAPS,Reconstruction of vagina,Xmajor,No
Gynaecology,VAGINOSCOPY,Examination of vagina under anaesthetic as sole procedure,Minor,No
Vascular Surgery,VARICOSE VEIN OPERATION,Local excision (multiple phlebectomy) of varicose vein(s) of leg - unilateral,Intermediate,No
Urology,VARICOSE VEIN OPERATION,Local excision (multiple phlebectomy) of varicose vein(s) of leg - unilateral,Intermediate,No
Urology,VASECTOMY,-,Intermediate,No
Urology,VASOVASORRHAPHY,Excision of epididymal cyst,Intermediate,No
Thoracic Surgery,VIDEO ASSISTED THORACOSCOPIC SURGERY (VATS)- BIOPSY OF LESION OF MEDIASTINUM,VATS lung biopsy,Intermediate,Yes
Thoracic Surgery,VIDEO ASSISTED THORACOSCOPIC SURGERY (VATS)-ANATOMICAL SEGMENTECTOMY OF LEFT LOWER LOBE,VATS lobectomy,Major,Yes
Thoracic Surgery,VIDEO ASSISTED THORACOSCOPIC SURGERY (VATS)-ANATOMICAL SEGMENTECTOMY OF LEFT UPPER LOBE,VATS lobectomy,Major,Yes
Thoracic Surgery,VIDEO ASSISTED THORACOSCOPIC SURGERY (VATS)-ANATOMICAL SEGMENTECTOMY OF LUNG,VATS lobectomy,Major,Yes
Thoracic Surgery,VIDEO ASSISTED THORACOSCOPIC SURGERY (VATS)-ANATOMICAL SEGMENTECTOMY OF RIGHT LOWER LOBE,VATS lobectomy,Major,Yes
Thoracic Surgery,VIDEO ASSISTED THORACOSCOPIC SURGERY (VATS)-ANATOMICAL SEGMENTECTOMY OF RIGHT MIDDLE LOBE,VATS lobectomy,Major,Yes
Thoracic Surgery,VIDEO ASSISTED THORACOSCOPIC SURGERY (VATS)-ANATOMICAL SEGMENTECTOMY OF RIGHT UPPER LOBE,VATS lobectomy,Major,Yes
Thoracic Surgery,VIDEO ASSISTED THORACOSCOPIC SURGERY (VATS)-BIOPSY OF CHEST WALL,VATS lung biopsy,Intermediate,Yes
Thoracic Surgery,VIDEO ASSISTED THORACOSCOPIC SURGERY (VATS)-BIOPSY OF MEDIASTINAL LYMPH NODE,VATS lung biopsy,Intermediate,Yes
Thoracic Surgery,VIDEO ASSISTED THORACOSCOPIC SURGERY (VATS)-BIOPSY OF PERICARDIUM,VATS excision lesion of mediastinum including thymectomy,Xmajor,Yes
Thoracic Surgery,VIDEO ASSISTED THORACOSCOPIC SURGERY (VATS)-BIOPSY OF PLEURA,VATS lung biopsy,Intermediate,Yes
Thoracic Surgery,VIDEO ASSISTED THORACOSCOPIC SURGERY (VATS)-CHEMICAL PLEURODESIS,VATS pleurodesis/pleurectomy,Major,Yes
,VIDEO ASSISTED THORACOSCOPIC SURGERY (VATS)-CHEMICAL PLEURODESIS,VATS pleurodesis/pleurectomy,Major,No
Thoracic Surgery,VIDEO ASSISTED THORACOSCOPIC SURGERY (VATS)-COMPLETION LOBECTOMY,VATS lobectomy,Major,Yes
Thoracic Surgery,VIDEO ASSISTED THORACOSCOPIC SURGERY (VATS)-DEBRIDEMENT AND WASHOUT OF PLEURAL CAVITY,VATS debridement of empyema,Major,Yes
Thoracic Surgery,VIDEO ASSISTED THORACOSCOPIC SURGERY (VATS)-DEBRIDEMENT AND WASHOUT OF PLEURAL CAVITY AND DECORTICATION,VATS debridement of empyema,Major,Yes
Thoracic Surgery,VIDEO ASSISTED THORACOSCOPIC SURGERY (VATS)-DRAINAGE OF LUNG ABSCESS,VATS debridement of empyema,Major,Yes
Thoracic Surgery,VIDEO ASSISTED THORACOSCOPIC SURGERY (VATS)-DRAINAGE OF PLEURAL CAVITY,Drainage of pleural cavity,Minor,Yes
Thoracic Surgery,VIDEO ASSISTED THORACOSCOPIC SURGERY (VATS)-EXCISION OF BULLA OF LUNG,VATS bullectomy - unilateral,Major,Yes
Thoracic Surgery,VIDEO ASSISTED THORACOSCOPIC SURGERY (VATS)-EXCISION OF LESION OF DIAPHRAGM,Transthoracic repair of diaphragmatic hernia (acquired),Xmajor,Yes
Thoracic Surgery,VIDEO ASSISTED THORACOSCOPIC SURGERY (VATS)-EXCISION OF THYMUS,VATS excision lesion of mediastinum including thymectomy,Xmajor,Yes
Thoracic Surgery,VIDEO ASSISTED THORACOSCOPIC SURGERY (VATS)-LOBECTOMY OF LOWER BILOBECTOMY OF RIGHT LUNG,VATS lobectomy,Major,Yes
Thoracic Surgery,VIDEO ASSISTED THORACOSCOPIC SURGERY (VATS)-LOBECTOMY OF LOWER LOBE OF LEFT LUNG,VATS lobectomy,Major,Yes
Thoracic Surgery,VIDEO ASSISTED THORACOSCOPIC SURGERY (VATS)-LOBECTOMY OF LOWER LOBE OF RIGHT LUNG,VATS lobectomy,Major,Yes
Thoracic Surgery,VIDEO ASSISTED THORACOSCOPIC SURGERY (VATS)-LOBECTOMY OF LUNG,VATS lobectomy,Major,Yes
,VIDEO ASSISTED THORACOSCOPIC SURGERY (VATS)-LOBECTOMY OF MIDDLE LOBE OF RIGHT LUNG,VATS lobectomy,Major,No
Thoracic Surgery,VIDEO ASSISTED THORACOSCOPIC SURGERY (VATS)-LOBECTOMY OF MIDDLE LOBE OF RIGHT LUNG,VATS lobectomy,Major,Yes
Thoracic Surgery,VIDEO ASSISTED THORACOSCOPIC SURGERY (VATS)-LOBECTOMY OF UPPER LOBE OF LEFT LUNG,VATS lobectomy,Major,Yes
Thoracic Surgery,VIDEO ASSISTED THORACOSCOPIC SURGERY (VATS)-LOBECTOMY OF UPPER LOBE OF RIGHT LUNG,VATS lobectomy,Major,Yes
Thoracic Surgery,VIDEO ASSISTED THORACOSCOPIC SURGERY (VATS)-LUNG RESECTION WITH CHEST WALL EXCISION,Excision of chest wall tumour - without chest wall reconstruction,Xmajor,Yes
Thoracic Surgery,VIDEO ASSISTED THORACOSCOPIC SURGERY (VATS)-LUNG VOLUME REDUCTION SURGERY,VATS lung volume reduction - unilateral,Complex,Yes
Thoracic Surgery,VIDEO ASSISTED THORACOSCOPIC SURGERY (VATS)-PLEURAL BIOPSY AND CHEMICAL PLEURODESIS AND INDWELLING PLEURAL CATHETER (IPC) INSERTION,VATS pleurodesis/pleurectomy,Major,Yes
Thoracic Surgery,VIDEO ASSISTED THORACOSCOPIC SURGERY (VATS)-SYMPATHECTOMY,VATS sympathectomy - unilateral,Major,Yes
Thoracic Surgery,VIDEO ASSISTED THORACOSCOPIC SURGERY (VATS)-TALC PLEURODESIS,VATS pleurodesis/pleurectomy,Major,Yes
Thoracic Surgery,VIDEO ASSISTED THORACOSCOPIC SURGERY (VATS)-WEDGE BIOPSY OF LUNG,VATS lung biopsy,Intermediate,Yes
Thoracic Surgery,VIDEO ASSISTED THORACOSCOPIC SURGERY (VATS)-WEDGE EXCISION OF LUNG,VATS wedge resection of lung,Major,Yes
,VIDEO ASSISTED THORACOSCOPIC SURGERY (VATS)-WEDGE EXCISION OF LUNG,VATS wedge resection of lung,Major,No
Thoracic Surgery,VIDEO ASSISTED THORASCOPIC SURGERY AND CHEMICAL PLEURODESIS,VATS pleurodesis/pleurectomy,Major,Yes
Gynaecology,VULVECTOMY,Simple vulvectomy,Major,No
Gynaecology Oncology,VULVECTOMY,Simple vulvectomy,Major,No
Gynaecology,VULVECTOMY AND BLOCK DISSECTION OF INGUINAL LYMPH NODES,Radical vulvectomy (including block dissection of inguinal gland),Complex,No
Thoracic Surgery,WEDGE BIOPSY OF LUNG,Thoracotomy and lung biopsy as sole procedure,Intermediate,Yes
Breast Surgery,WEDGE EXCISION OF BREAST,Wide local excision of breast +/- local mobilisation of glandular breast tissue to fill surgical cavity,Intermediate,No
Thoracic Surgery,WEDGE EXCISION OF LUNG,Pulmonary lobectomy including segmental resection,Complex,Yes
Orthopaedics,WEDGE OSTEOTOMY OF TIBIA,Tibial osteotomy,Major,No
Maxillo-Facial Surgery,WEDGE RESECTION OF LIP,Excision of lesion of lip,Intermediate,No
Head and Neck,WEDGE RESECTION OF SKIN,Primary excision of malignant lesion - head and neck,Intermediate,No
ENT,WEDGE RESECTION OF TONGUE,Partial glossectomy for malignancy,Major,No
Maxillo-Facial Surgery,WEDGE RESECTION OF TONGUE,Partial glossectomy for malignancy,Major,No
Head and Neck,WIDE EXCISION OF MUSCLE TISSUE,Removal of benign lesion in muscle or deeper tissue (excluding lipoma),Intermediate,No
Gynaecology,WIDE EXCISION OF MUSCLE TISSUE,Removal of benign lesion in muscle or deeper tissue (excluding lipoma),Intermediate,No
,WIDE EXCISION OF MUSCLE TISSUE,Removal of benign lesion in muscle or deeper tissue (excluding lipoma),Intermediate,No
Breast Surgery,WIDE LOCAL EXCISION OF BREAST LESION,Wide local excision of breast +/- local mobilisation of glandular breast tissue to fill surgical cavity,Intermediate,No
Gynaecology,WIDE LOCAL EXCISION OF VULVA,Simple vulvectomy,Major,No
,WIDE LOCAL EXCISION OF VULVA,Simple vulvectomy,Major,No
Breast Surgery,WIRE GUIDED WIDE LOCAL EXCISION OF BREAST LUMP UNDER RADIOLOGICAL CONTROL,Wide local excision of breast +/- local mobilisation of glandular breast tissue to fill surgical cavity,Intermediate,No
Thoracic Surgery,XIPHOIDECTOMY,-,Intermediate,No
Urology,Z-PLASTY OF SKIN,Scar revision up to 5cm - trunk & limbs,Minor,No
Paediatric ENT,TYMPANOPLASTY USING BIOLOGICAL GRAFT,Combined approach tympanoplasty - intact canal wall tympanoplasty,Major,No
,REMOVAL OF CALCULUS OF RENAL PELVIS THROUGH PERCUTANEOUS NEPHROSTOMY,Percutaneous nephrolithotomy (including cystoscopy and retrograde catheterisation),Complex,No
,REMOVAL OF STENT,-,Unknown,No
ENT,RECONSTRUCTION OF NOSE WITH SKIN GRAFT,Septorhinoplasty including graft/implant following trauma or excision of tumour (including attention to turbinates),Major,No
Orthopaedics,ARTHRODESIS OF JOINT OF WRIST REGION,Partial fusion of wrist,Intermediate,No
,REPAIR OF PATELLAR TENDON,Repair of patellar/quadricep tendon,Major,No
,VIDEO ASSISTED THORACOSCOPIC SURGERY (VATS)-BIOPSY OF PLEURA,VATS lung biopsy,Intermediate,No
ENT,SPLANCHNICOTOMY,Excision of lesion of major nerve,Intermediate,No
Vascular Surgery,EMERGENCY REPLACEMENT OF ANEURYSMAL POPLITEAL ARTERY,Reconstruction/bypass for popliteal aneurysm,Complex,No
ENT,FIBREOPTIC OESOPHAGOSCOPY AND BIOPSY,"Diagnostic eosophago-gastro-duodenoscopy (OGD) includes forceps biopsy, biopsy urease test and dye spray",Minor,No
,PRIMARY OPEN REDUCTION OF FRACTURE OF NECK OF FEMUR AND OPEN FIXATION USING CHARNLEY COMPRESSION SCREW,Primary reduction of fracture of neck of femur and internal fixation,Xmajor,No
,REMOVAL OF CHEST DRAIN,Insertion of tube drain into pleural cavity,Minor,No
,DRAINAGE OF PELVIC COLLECTION,Drainage of abscess of appendix or drainage of intra-abdominal abscess,Major,No
,NAVIGATIONAL BRONCHOSCOPIC INTRA-PULMONARY LESION BIOPSY,"Therapeutic bronchoscopy (including laser, cryotherapy, lavage, snare, dilatation of stricture, insertion of stent)",Minor,No
Bariatrics,LAPAROSCOPY,Diagnostic laparoscopy (including any biopsy),Intermediate,No
,EXTERNAL FIXATION OF BONE,Closed reduction of fracture of long bone with external fixation (excluding fixation by cast or percutaneous K-wires),Major,No
General Surgery,REPAIR OF LEFT INDIRECT INGUINAL HERNIA,Primary repair of inguinal hernia,Intermediate,No
Orthopaedics,UNCEMENTED TOTAL REPLACEMENT OF JOINT,Primary total hip replacement with or without cement,Xmajor,No
,ANASTOMOSIS OF INTESTINE,Open resectionof small intestine tumour,Major,No
Orthopaedics,OPEN REDUCTION OF FRACTURE,Primary open reduction of long bone with fixation,Major,No
General Surgery,FEEDING ENTEROSTOMY OF JEJUNUM,Open formation of jejunostomy,Major,No
Thoracic Surgery,INCISION OF CHEST WALL,Thoracotomy and lung biopsy as sole procedure,Intermediate,No
Head and Neck,BILATERAL DISSECTION TONSILLECTOMY,"Tonsillectomy - adult, age 13 + (and bilateral)",Intermediate,No
Head and Neck,SKIN GRAFT TO EXTREMITY,"Full thickness graft, trunk and limbs – up to 9cm2 in area",Intermediate,No
,OPEN EXCISION OF LESION OF LUNG,Open excision of lesion of lung,Complex,No
Head and Neck,RESECTION OF TRACHEAL STENOSIS,Partial excision of trachea with reconstruction,Complex,Yes
Orthopaedics,CORE DECOMPRESSION OF HEAD OF FEMUR,Core decompression of hip,Major,No
,COMPLETION GASTRECTOMY,Total gastrectomy and excision of surrounding tissue,Complex,Yes
,OPEN REDUCTION OF FRACTURE OF ZYGOMA OR ZYGOMATIC ARCH,Open reduction of fracture of zygomatic complex of bones,Major,No
Head and Neck,TOTAL RHINECTOMY,Total excision of nose,Major,No
General Surgery,IVOR LEWIS SUBTOTAL OESOPHAGECTOMY,Oesophagectomy/oesophagogastrectomy with anastomosis in chest,Complex,Yes
General Surgery,SURGICAL CLOSURE OF STOMA,Closure of colostomy,Major,No
Head and Neck,SKIN GRAFT CUTTING/PREPARATION,"Split autograft of skin, trunk and limbs – up to 25cm2 in area",Intermediate,No
Head and Neck,DILATION OF TRACHEOSTOMY,Tracheostomy,Intermediate,Yes
Maxillo-Facial Surgery,EXCISION OF LIPOMA,"Excision of lesion of skin or subcutaneous tissue - up to three, Head & Neck (excluding lipoma)",Minor,No
Gynaecology,RESECTION OF POLYP,"Hysteroscopy (including biopsy, dilatation, curettage and resection of polyp(s) +/- Mirena coil insertion)",Intermediate,No
,OPEN REDUCTION OF FRACTURE OF TARSAL BONE WITH INTERNAL FIXATION,Primary open reduction of small bone with fixation including intra-articular,Intermediate,No
Head and Neck,DILATION OF LARYNX,Tracheoplasty,Major,Yes
,INTRAMEDULLARY NAILING OF TIBIA,Locked intramedullary nailing of fractured long bone,Xmajor,No
Upper Gastro-intestinal Surgery,LAPAROSCOPY,Diagnostic laparoscopy (including any biopsy),Intermediate,No
,GASTROPEXY,Gastropexy for reflux,Major,No
Maxillo-Facial Surgery,EXCISION OF LESION OF BUCCAL MUCOSA,Excision/destruction of lesion of mouth,Minor,No
,LAPAROSCOPY OF FALLOPIAN TUBE,"Laparoscopy and therapeutic procedures (including laser, diathermy and destruction e.g. endometriosis, adhesiolysis, tubal and ovarian surgery, +/-ureterolysis)",Major,No
Head and Neck,IRRIGATION OF MAXILLARY ANTRUM,Excision/destruction of lesion of mouth,Minor,No
Orthopaedics,EXCISION OF PRESSURE ULCER,Debridement and primary suture of wound with involvement of deeper tissue - Trunk and Limbs,Intermediate,No
,EXTERNAL EAR ENDOSCOPY,Removal of foreign body from external auditory canal (and bilateral),Minor,No
Head and Neck,RESECTION OF TRACHEA,Partial excision of trachea with reconstruction,Complex,Yes
,PARTIAL HIP REPLACEMENT BY PROSTHESIS,Prosthetic replacement of head of femur,Major,No
ENT,BIOPSY OF LESION OF NASAL SINUS,"Diagnostic nasolaryngopharyngoscopy +/- biopsy, +/- cautery as sole procedure",Minor,No
,DECORTICATION,Decortication of pleura of lung,Complex,Yes
Gynaecology,ENDOSCOPIC MYOMECTOMY,Hysteroscopy with resection of fibroids (excluding morcellation) +/- insertion on Mirena coil,Major,No
,BILATERAL ANTRAL WASHOUT,Antral puncture and wash-out (and bilateral),Minor,No
Upper Gastro-intestinal Surgery,PARTIAL OESOPHAGECTOMY AND ANASTOMOSIS OF OESOPHAGUS TO TRANSPOSED JEJUNUM,Oesophagectomy/oesophagogastrectomy with anastomosis in chest,Complex,Yes
Vascular Surgery,NESBIT'S OPERATION ON PENIS,Operation for Peyronie's disease (eg Nesbitt's),Intermediate,No
,OESOPHAGOSCOPY FOR REMOVAL OF FOREIGN BODY,"Rigid oesophagoscopy including any biopsy, laser or diathermy destruction of lesions",Intermediate,No
Thoracic Surgery,EXCISION OF MEDIASTINAL CYST,Open excision of mediastinal tumour including congenital cysts/posterior chest wall lesions,Xmajor,Yes
General Surgery,BIOPSY OF ABDOMINAL LYMPH NODE,"Excision biopsy of lymph node for diagnosis (cervical, inguinal, axillary)",Intermediate,No
Urology,APPENDICOVESICOSTOMY,Construction of ileal conduit including ureteric implantation,Xmajor,No
,ROTATION FLAP GRAFT OF SKIN,Local flap ? less than 9cm2,Major,No
Urology,FLUOROSCOPY GUIDED BILATERAL NEPHROSTOMY,Percutaneous insertion of nephrostomy tube,Intermediate,No
,VIDEO ASSISTED THORACOSCOPIC SURGERY (VATS)-DEBRIDEMENT AND WASHOUT OF PLEURAL CAVITY,VATS debridement of empyema,Major,No
Head and Neck,RADIAL FOREARM FREE FLAP,Distant flap ? delay/division/inset,Major,No
,ULTRASOUND GUIDED BIOPSY,Ultrasound guided biopsy(ies),Intermediate,No
,VIDEO ASSISTED THORACOSCOPIC EXCISION OF OESOPHAGUS,Oesophagectomy/oesophagogastrectomy with anastomosis in chest,Complex,Yes
Bariatrics,OESOPHAGOJEJUNOSTOMY BY ABDOMINAL APPROACH,Total gastrectomy and excision of surrounding tissue,Complex,Yes
Head and Neck,"TRACHEOSTOMY, EMERGENCY PROCEDURE BY TRANSTRACHEAL APPROACH",Tracheostomy,Intermediate,Yes
,LOBECTOMY,Pulmonary lobectomy including segmental resection,Complex,Yes
Head and Neck,EXTERIORISATION OF TRACHEA,Tracheostomy,Intermediate,Yes
Urology,MANUAL DILATATION OF STOMA,-,Minor,No
Urology,DRAINAGE OF ANTERIOR ABDOMINAL WALL,Drainage of lesion of skin (including abscess),Minor,No
,OPEN REDUCTION OF TRIMALLEOLAR FRACTURE OF ANKLE WITH INTERNAL FIXATION,"Primary open reduction of intra-articular fracture of long bone with internal fixation, eg proximal humerus or proximal tibia (with or without arthroscopic assistance) ",Major,No
Head and Neck,BIOPSY OF HYPOPHARYNX,Panendoscopy +/- incisional biopsy,Intermediate,No
,INCISION AND PACKING OF WOUND,Debridement and primary suture of wound with involvement of deeper tissue - Trunk and Limbs,Intermediate,No
,DENTAL SURGICAL PROCEDURE,Surgical removal of impacted/buried tooth/teeth,Intermediate,No
Thoracic Surgery,SURGICAL DEBRIDEMENT OF WOUND,Debridement and primary suture of wound with involvement of deeper tissue - Trunk and Limbs,Intermediate,No
Orthopaedics,FUSION OF JOINT WITH EXTRA-ARTICULAR BONE GRAFT,Primary arthrodesis of joint with or without graft and with or without internal fixation – shoulder,Major,No
,LAPAROSCOPIC REPAIR OF HIATUS HERNIA,Transabdominal repair of hiatus hernia,Major,No
,MANIPULATION OF PROSTHETIC JOINT,-,Intermediate,No
,PLEURAL BIOPSY AND CHEMICAL PLEURODESIS AND INDWELLING PLEURAL CATHETER (IPC) INSERTION,VATS pleurodesis/pleurectomy,Major,Yes
Vascular Surgery,CAROTID ENDARTERECTOMY,Carotid endarterectomy,Complex,Yes
Orthopaedics,LENGTHENING OF ACHILLES TENDON,Lengthening of tendon(s) or open tenotomy,Intermediate,No
,EXPLORATORY INCISION,Debridement and primary suture of wound with involvement of deeper tissue - Trunk and Limbs,Intermediate,No
,REVISION OF LEFT TOTAL HIP ARTHROPLASTY,Revision of uncemented or cemented total hip replacement without adjunctive procedures,Complex,No
,FIXATION OF FRACTURE USING CANNULATED SCREWS,Primary open reduction of long bone with fixation,Major,No
Orthopaedics,ARTHROSCOPIC DEBRIDEMENT OF ANKLE JOINT,"Multiple arthroscopic operations on ankle (including soft tissue, bony and/or joint surface procedures with ligament reconstruction).",Major,No
,SUBTOTAL GASTRECTOMY,Partial gastrectomy,Xmajor,Yes
Head and Neck,EXCISION OF LEFT HALF OF TONGUE,Partial glossectomy for malignancy,Major,Yes
Vascular Surgery,ANGIOPLASTY OF SUBCLAVIAN ARTERY,"Angioplasty of other arteries (e.g. sub-clavian, tibial, femoro-popliteal) including peripheral angiogram +/- insertion of stent",Major,No
Head and Neck,CHEEK OPERATION,"Excision of lesion of skin or subcutaneous tissue - up to three, Head & Neck (excluding lipoma)",Minor,No
,CLOSED REDUCTION OF INTRACAPSULAR FRACTURE OF NECK OF FEMUR AND INTERNAL FIXATION USING A DYNAMIC HIP SCREW,Primary reduction of fracture of neck of femur and internal fixation,Xmajor,No
Head and Neck,RADICAL EXCISION WITH EN BLOC RESECTION OF REGIONAL ORGANS AND TISSUES,Total pharyngectomy,Complex,Yes
Head and Neck,"FUNCTIONAL ENDOSCOPIC SINUS SURGERY, TOTAL","Image guided endoscopic frontal, sphenoid and/or ethmoid sinus surgery (FESS) and bilateral",Major,No
Urology,EXCISION OF LESION OF MALE PERINEUM,Drainage through perineal region (including ischiorectal abscess) (including sigmoidoscopy),Minor,No
Head and Neck,RECONSTRUCTION OF EXTERNAL EAR WITH POSTAURICULAR SKIN FLAP,Reconstruction of external ear for anotia/microtia using cartilage,Complex,No
Thoracic Surgery,BRONCHOSCOPY WITH CELL WASHING,"Therapeutic bronchoscopy (including laser, cryotherapy, lavage, snare, dilatation of stricture, insertion of stent)",Minor,No
,EXCISION OF LESION OF LUNG,Open excision of lesion of lung,Complex,Yes
Urology,WIDE LOCAL EXCISION OF VULVA,Simple vulvectomy,Major,No
,ENDOSCOPIC DESTRUCTION OF LESION OF PROSTATE,Endoscopic resection of prostate (TUR) (including cystoscopy),Major,No
,DECORTICATION OF LUNG,Decortication of pleura of lung,Complex,Yes
,FLEXIBLE BRONCHOSCOPIC CRYOEXTRACTION OF TUMOUR IN THE LOWER RESPIRATORY TRACT,"Therapeutic bronchoscopy (including laser, cryotherapy, lavage, snare, dilatation of stricture, insertion of stent)",Minor,No
Thoracic Surgery,ROBOTIC EXCISION OF MEDIASTINAL CYST,Open excision of mediastinal tumour including congenital cysts/posterior chest wall lesions,Xmajor,Yes
Orthopaedics,OPEN REDUCTION OF FRACTURE OF PELVIC BONE WITH INTERNAL FIXATION,Open reduction/internal fixation of posterior rim of acetabulum,Complex,No
Gynaecology,OPEN DEBULKING OF PELVIC  LYMPH NODES,Block dissection of pelvic lymph nodes (as sole procedure),Major,No
,REDO VESICOURETHRAL ANASTOMOSIS,Therapeutic endoscopic operations on outlet of female bladder (including cystoscopy),Intermediate,No
Gynaecology,RADICAL EXCISION WITH LYMPH NODE DISSECTION,Total exenteration of pelvis,Complex,Yes
Colorectal Surgery,REPAIR OF RECTAL PROLAPSE,Fixation of rectum for prolapse,Major,No
Gynaecology,REPAIR OF VAGINOVESICAL FISTULA,Repair of vesicovaginal fistula (including cystoscopy),Major,No
,VIDEO ASSISTED THORACOSCOPIC SURGERY (VATS)-PLEURAL BIOPSY AND CHEMICAL PLEURODESIS AND INDWELLING PLEURAL CATHETER (IPC) INSERTION,VATS pleurodesis/pleurectomy,Major,Yes
Thoracic Surgery,VIDEO ASSISTED THORACOTOMY,Exploratory thoracotomy,Major,Yes
Thoracic Surgery,TRANSCERVICAL THYMECTOMY,Thymectomy for myasthenia gravis/thymoma,Major,Yes
,"TRACHEOSTOMY, EMERGENCY PROCEDURE BY CRICOTHYROID MEMBRANE APPROACH",Tracheostomy,Intermediate,Yes
Gynaecology,MARSUPIALISATION OF LESION OF VAGINA,Excision of lesion of vagina (e.g. warts and cysts),Intermediate,No
General Surgery,DISTAL SUBTOTAL GASTRECTOMY,Partial gastrectomy,Xmajor,Yes
,OPEN REDUCTION OF FRACTURE OF MANDIBLE WITH INTERNAL FIXATION,Open reduction and fixation of fractured jaw,Intermediate,No
,MODIFIED RADICAL NECK DISSECTION,Radical dissection of cervical lymph nodes,Complex,Yes
,FRONTAL SINUSOTOMY,Trephining of frontal sinus and bilateral,Minor,No
,LAPAROSCOPIC BYPASS OF STOMACH,Laparoscopic biliary gastric bypass,Complex,No
,LAPAROSCOPIC PANPROCTOCOLECTOMY,Panproctocolectomy and ileostomy,Complex,No
Head and Neck,TOTAL EXCISION OF LEFT PAROTID GLAND,Excision of parotid gland (other than F4410/F4430),Major,No
Urology,BILATERAL ORCHIDECTOMY,Bilateral excision of testes,Major,No
,OPEN REDUCTION WITH INTERNAL FIXATION OF TRIMALLEOLAR FRACTURE OF ANKLE AND FIXATION OF POSTERIOR LIP OF TIBIA,"Primary open reduction of intra-articular fracture of long bone with internal fixation, eg proximal humerus or proximal tibia (with or without arthroscopic assistance) ",Major,No
,INCISION AND DRAINAGE OF PILONIDAL ABSCESS,Excision of pilonidal sinus and suture/skin graft,Intermediate,No
Upper Gastro-intestinal Surgery,OESOPHAGOGASTRECTOMY,Oesophagectomy/oesophagogastrectomy with anastomosis in chest,Complex,Yes
,CREATION OF JEJUNOSTOMY,Open formation of jejunostomy,Major,No
Orthopaedics,REMOVAL OF INTERNAL FIXATION DEVICE FROM CLAVICLE,"Removal of internal fixation from bone/joint, excluding K-wires",Intermediate,No
Head and Neck,"TRACHEOSTOMY, EMERGENCY PROCEDURE BY CRICOTHYROID MEMBRANE APPROACH",Tracheostomy,Intermediate,Yes
Head and Neck,BIOPSY OF HEAD,Shave biopsy of lesion of skin,Minor,No
Gynaecology,LAPAROSCOPIC BIOPSY OF LESION OF OMENTUM,Diagnostic laparoscopy (including any biopsy),Intermediate,No
,INCISION AND DRAINAGE OF ABSCESS OF BACK,Drainage of lesion of skin (including abscess),Minor,No
Head and Neck,EXCISION OF EXOSTOSIS OF FACIAL BONE,Partial excision of bone (including exostoses),Intermediate,No
,PRIMARY CEMENTED TOTAL HIP REPLACEMENT,Primary total hip replacement with or without cement,Xmajor,No
Gynaecology,MINI-LAPAROTOMY,Laparotomy for postoperative haemorrhage,Major,No
Head and Neck,MICROVASCULAR FREE TISSUE TRANSFER OF FLAP OF MUSCLE,Free functioning muscle transfer (as sole procedure) including closure of secondary defect,Complex,Yes
,BRONCHOSCOPIC PLACEMENT OF AIRWAY STENT,"Therapeutic bronchoscopy (including laser, cryotherapy, lavage, snare, dilatation of stricture, insertion of stent)",Minor,No
,OPEN RIGHT HEMICOLECTOMY,Right hemicolectomy,Xmajor,No
Urology,REMOVAL OF INFERIOR VENA CAVAL FILTER,Insertion/removal of vena cava filter,Intermediate,No
Urology,DIAGNOSTIC LAPAROSCOPY,Diagnostic laparoscopy (including any biopsy),Intermediate,No
,SURGICAL REDUCTION OF TORSION OF TESTIS,Orchidopexy,Intermediate,No
,DILATION OF TRACHEOSTOMY,Tracheostomy,Intermediate,Yes
,"TRACHEOSTOMY, EMERGENCY PROCEDURE BY TRANSTRACHEAL APPROACH",Tracheostomy,Intermediate,Yes
Gynaecology,REMOVAL OF OVARIAN CYST,Ovarian cystectomy +/- omental biopsy (as sole procedure and including bilateral),Major,No
Breast Surgery,INCISION AND DRAINAGE OF BREAST ABSCESS,Drainage of breast abscess including haematoma and seroma,Minor,No
,DISTAL SHUNT FOR PRIAPISM,Repair of injury to penis,Intermediate,No
Urology,INCISION AND DRAINAGE OF ABSCESS,Drainage of lesion of skin (including abscess),Minor,No
General Surgery,WEDGE RESECTION OF STOMACH,Partial gastrectomy,Xmajor,No
